Segment Id	Segment Name	Last Updated On
3401	zeotap > Canada > Demographics > Gender: Female	2018-03-04 03:46:11
3619	zeotap > India > Demographics > Parent Type: Young Mother	
4001	zeotap > Spain > Demographic > Province: Salamanca	2018-02-23 03:33:30
2899	zeotap > UK > Demographics > Gender: Female / Women	2018-02-23 10:58:58
3245	zeotap > Italy > Demographics > Age & Gender: Male 18-34	2018-02-23 04:17:16
3161	zeotap > Italy > Interest > News	2018-02-23 06:06:43
3407	zeotap > Canada > Demographics > Age: 25-34	2018-03-04 03:46:11
3284	zeotap > Italy > Demographics > Age & Gender: Female / Women, 18 - 24	2018-02-23 04:17:16
4449	zeotap > Germany > Interest > Beauty & Cosmetics (App Usage)	2018-02-05 06:25:45
4257	zeotap > Spain > Interest > Food Delivery	2018-02-27 01:29:59
4230	zeotap > Spain > Interest > Luxury	2018-02-27 00:37:45
3555	zeotap > Italy > Demographics > Language: Arabic	2018-02-23 04:17:16
3930	zeotap > Italy > Demographics > Province: Milano	2018-02-23 05:48:43
4226	zeotap > Spain > Demographics > Gender: Female / Women	2018-03-04 07:46:41
4841	zeotap > India > Male 18-24 (TVS)	
5364	Zeotap > Italy > Appusage > Health and Fitness	2018-03-05 10:47:17
3768	zeotap > Italy > Demographics > Province: Reggio Calabria	2018-02-23 04:17:16
4254	zeotap > Spain > Interest > Business and Finance	2018-02-27 01:19:12
4404	zeotap > Italy > Demographics > Legal Drinking Age - 18+	2018-02-23 04:17:16
4183	Zeotap > Italy > Appusage > Health and Fitness	2018-03-05 10:47:17
4095	zeotap > DE > Demographics > Age: 18-44	2018-03-04 04:49:08
4453	zeotap > Germany > Interest > Health & Fitness (App Usage)	2018-02-05 06:26:46
461	zeotap > Italy > Demographics > Age: 45-54	2018-02-23 04:17:16
4452	zeotap > Germany > Interest > Health & Fitness (App Usage)	2018-02-05 06:26:46
4085	Zeotap > Italy > Appusage > Health and Fitness	2018-03-05 10:47:17
3575	zeotap > Spain > Demographics > Top Cities	2018-03-05 08:06:51
4698	zeotap > India > M/F > 18-34 > Card Type (Redbull)	
3772	zeotap > Italy > Demographics > Province: Verona	2018-02-23 04:17:16
4250	zeotap > Spain > Interest > Nightlife & Clubs	2018-02-27 03:26:47
3632	zeotap > Spain > Demographics > Household Size: 4+	2018-02-23 03:54:42
5562	zeotap > Spain > Demographic > Province: Alicante	2018-03-04 07:46:41
4395	zeotap > USA > Interest > Shopping (App Usage)	2018-03-05 01:31:26
4399	zeotap > USA > Interest > Social (App Usage)	2018-03-05 03:02:28
4319	zeotap > Spain > Interest > Nightlife & Clubs	2018-02-27 03:26:47
3264	zeotap > Spain > Demographics > Age: 18-24	2018-02-23 03:33:30
